"productCode","name","price","description","imageURL","unit","Category code","Group code"
"","ZUEGG RECEL PORTOKALLI 330 GR",259,"ZUEGG RECEL PORTOKALLI 330 GR","https://bli.ecomarket.al/wp-content/uploads/2020/05/sm29752.png","cope","",""
"","ZUEGG RECEL QERSHIE 320 GR",289,"ZUEGG RECEL QERSHIE 320 GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/QERSHI.jpg","cope","",""
"","ZUEGG RECEL QERSHIE 700 GR",359,"ZUEGG RECEL QERSHIE 700 GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/ZUEGG.jpg","cope","",""
"","ZUEGG RECEL KAJSIE 700GR",359,"ZUEGG RECEL KAJSIE 700GR","https://bli.ecomarket.al/wp-content/uploads/2020/12/SM30206.jpg","cope","",""
"","ZUEGG RECEL KUMBULLE 700 GR",359,"ZUEGG RECEL KUMBULLE 700 GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/KU.jpg","cope","",""
"","ZUEGG RECEL KUMBULLE  330GR",289,"ZUEGG RECEL KUMBULLE  330GR","https://bli.ecomarket.al/wp-content/uploads/2020/12/SM30063.jpg","cope","",""
"","ZUEGG RECEL LULESHTRYDHE 320 GR",289,"ZUEGG RECEL LULESHTRYDHE 320 GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/FF.jpg","cope","",""
"","ALEXANDRIA KRIPE E IMET E BARDHE 0.5KG",19,"ALEXANDRIA KRIPE E IMET E BARDHE 0.5KG","https://bli.ecomarket.al/wp-content/uploads/2020/04/SM22976.png","cope","",""
"","ARRE KOKOSI E GRIRE",89,"ARRE KOKOSI E GRIRE","https://bli.ecomarket.al/wp-content/uploads/2020/12/SM26010.jpg","cope","",""
"","DIVELLA KONCENTRAT PULE 6 TABLETA 60GR",50,"DIVELLA KONCENTRAT PULE 6 TABLETA 60GR","https://bli.ecomarket.al/wp-content/uploads/2020/03/divellapule.png","cope","",""
"","DIVELLA KONCENTRAT VICI 6 TABLETA 60GR",50,"DIVELLA KONCENTRAT VICI 6 TABLETA 60GR","https://bli.ecomarket.al/wp-content/uploads/2020/03/divellavici.png","cope","",""
"","CURRY MIX AROMATIK  10 GR",125,"CURRY MIX AROMATIK  10 GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/curry.jpg","cope","",""
"","DAFINE GJETHE",115,"DAFINE GJETHE","https://bli.ecomarket.al/wp-content/uploads/2020/04/sm00746.jpg","cope","",""
"","HUDHER E GRIRE E PERPUNUAR",139,"HUDHER E GRIRE E PERPUNUAR","https://bli.ecomarket.al/wp-content/uploads/2020/04/sm00762.jpg","cope","",""
"","KANELLE E GRIRE",129,"KANELLE E GRIRE","https://bli.ecomarket.al/wp-content/uploads/2020/04/sm00754.jpg","cope","",""
"","KANELLE E PLOTE",189,"KANELLE E PLOTE","https://bli.ecomarket.al/wp-content/uploads/2020/04/sm00753.jpg","cope","",""
